month lat oh0 oh1 oh2
1 30 1679475.3216 -3682.334146 3.0740771883
1 60 -1.280569E-8 4.604317E-11 -3.44447E-14
2 30 1432052.4678 -1931.766585 1.6925922812
2 60 -1.280569E-8 4.604317E-11 -3.44447E-14
3 30 1578760.6155 -2717.564954 2.9025477171
3 60 -193954.427 833.30530564 -0.549062474
4 30 2295442.6974 -4830.530564 4.9062473724
4 60 -1240839.149 5322.1642983 -3.801395779
5 30 1507315.2274 -698.2258471 1.7556545867
5 60 -969772.1349 4166.5265282 -2.745312369
6 30 -312284.5371 7341.5034054 -4.948288909
6 60 -2390288.405 10331.665686 -7.669217187
7 30 -312284.5371 7341.5034054 -4.948288909
7 60 -2390288.405 10331.665686 -7.669217187
8 30 -136265.0298 6847.6414698 -4.703607164
8 60 -1994862.524 8806.1885143 -6.767005802
9 30 193222.90423 5436.5172791 -3.626502985
9 60 -684427.8147 3020.5583116 -2.262675523
10 30 1466114.5211 -1817.413605 1.8674850753
10 60 -160985.4536 776.12881527 -0.636508871
11 30 1457504.4144 -2130.076516 1.8010594467
11 60 6.693881E-9 -2.48974E-11 1.909584E-14
12 30 342672.16009 427.0158917 0.2413184226
12 60 6.693881E-9 -2.48974E-11 1.909584E-14
